ID,INV,DATE,CATALOG,PCODE,QTY,custnum
1,107707.0,3/97/7 00:00:00,Sports,SP1000,1.0,1242
2,110633.0,3/97/25 00:00:00,Gardening,GD2200,1.0,1243
3,111155.0,3/97/28 00:00:00,Pets,PT1300,3.0,1244
4,126867.0,6/97/22 00:00:00,Toys,TY4100,1.0,1245
5,135872.0,8/97/8 00:00:00,Toys,TY1200,4.0,1246
6,135872.0,8/97/8 00:00:00,Toys,TY2100,1.0,1247
7,135872.0,8/97/8 00:00:00,Toys,TY2300,1.0,1248
8,135872.0,8/97/8 00:00:00,Toys,TY4100,1.0,1249
9,140623.0,9/97/2 00:00:00,Software,SW8511,4.0,125
10,141408.0,9/97/6 00:00:00,Sports,SP1500,1.0,1250
11,168285.0,2/98/1 00:00:00,Gardening,GD3100,3.0,1251
12,168285.0,2/98/1 00:00:00,Gardening,GD3300,1.0,1252
13,168285.0,2/98/1 00:00:00,Gardening,GD3400,1.0,1253
14,168285.0,2/98/1 00:00:00,Gardening,GD4300,3.0,1254
15,243353.0,4/98/7 00:00:00,Software,SW5338,2.0,1255
16,243377.0,4/98/24 00:00:00,Pets,PT2300,2.0,1256
17,243377.0,4/98/24 00:00:00,Pets,PT2400,2.0,1257
18,207772.0,8/98/2 00:00:00,Sports,SP1200,1.0,1258
19,213285.0,8/98/25 00:00:00,Toys,TY3700,3.0,1259
20,225108.0,10/98/14 00:00:00,Pets,PT3100,1.0,126
21,236334.0,12/98/1 00:00:00,Toys,TY1600,1.0,1260
22,126867.0,9/00/29 00:00:00,Toys,TY4100,1.0,1261
23,135872.0,11/00/15 00:00:00,Toys,TY1200,4.0,1262
24,135872.0,11/00/15 00:00:00,Toys,TY2100,1.0,1263
25,135872.0,11/00/15 00:00:00,Toys,TY2300,1.0,1264
26,135872.0,11/00/15 00:00:00,Toys,TY4100,1.0,1265
27,140623.0,12/00/10 00:00:00,Software,SW8511,4.0,1266
28,118448.0,5/97/8 00:00:00,Pets,PT3500,3.0,1267
29,121273.0,5/97/23 00:00:00,Toys,TY1800,2.0,1268
30,143116.0,9/97/15 00:00:00,Sports,SP2400,4.0,1269
31,157565.0,12/97/1 00:00:00,Sports,SP2700,4.0,127
32,170191.0,2/98/12 00:00:00,Pets,PT4300,1.0,1270
33,243375.0,4/98/21 00:00:00,Sports,SP1600,2.0,1271
34,243375.0,4/98/21 00:00:00,Sports,sp2000,3.0,1272
35,243375.0,4/98/21 00:00:00,Sports,SP3000,4.0,1273
36,184709.0,4/98/24 00:00:00,Pets,PT3300,1.0,1274
37,184709.0,4/98/24 00:00:00,Pets,PT3300,1.0,1275
38,184709.0,4/98/24 00:00:00,Pets,PT4200,1.0,1276
39,184709.0,4/98/24 00:00:00,Pets,PT4500,1.0,1277
40,196588.0,6/98/15 00:00:00,Gardening,GD1001,1.0,1278
41,196588.0,6/98/15 00:00:00,Gardening,GD1400,1.0,1279
42,196588.0,6/98/15 00:00:00,Gardening,GD4000,1.0,128
43,203157.0,7/98/13 00:00:00,Toys,TY4700,1.0,1280
44,204292.0,7/98/18 00:00:00,Sports,SP1100,2.0,1281
45,227219.0,10/98/23 00:00:00,Sports,SP1500,1.0,1282
46,232145.0,11/98/13 00:00:00,Software,SW3895,1.0,1283
47,240570.0,12/98/19 00:00:00,Pets,PT3300,1.0,1284
48,240783.0,12/98/20 00:00:00,Toys,TY5200,4.0,1285
49,242124.0,12/98/26 00:00:00,Collectibles,CC3200,1.0,1286
50,118448.0,8/00/15 00:00:00,Pets,PT3500,3.0,1287
51,121273.0,8/00/30 00:00:00,Toys,TY1800,2.0,1288
52,170191.0,5/01/22 00:00:00,Pets,PT4300,1.0,1289
53,100376.0,1/97/15 00:00:00,Pets,PT2100,1.0,129
54,142332.0,9/97/11 00:00:00,Toys,TY1100,2.0,1290
55,142332.0,9/97/11 00:00:00,Toys,TY3200,2.0,1291
56,142332.0,9/97/11 00:00:00,Toys,TY4200,1.0,1292
57,142332.0,9/97/11 00:00:00,Toys,TY5300,1.0,1293
58,157181.0,11/97/29 00:00:00,Sports,SP1200,1.0,1294
59,167282.0,1/98/26 00:00:00,Sports,SP2200,1.0,1295
60,167282.0,1/98/26 00:00:00,Sports,SP2300,1.0,1296
61,167282.0,1/98/26 00:00:00,Sports,SP2400,1.0,1297
62,176148.0,3/98/15 00:00:00,Software,SW7935,1.0,1298
63,243374.0,4/98/21 00:00:00,Collectibles,CC1100,1.0,1299
64,243374.0,4/98/21 00:00:00,Collectibles,CC3300,2.0,13
65,243374.0,4/98/21 00:00:00,Collectibles,CC3500,3.0,130
66,243374.0,4/98/21 00:00:00,Collectibles,CC3500,1.0,1300
67,243376.0,4/98/21 00:00:00,Pets,PT2300,2.0,1301
68,243376.0,4/98/21 00:00:00,Pets,PT3100,2.0,1302
69,243376.0,4/98/21 00:00:00,Pets,PT3200,1.0,1303
70,243376.0,4/98/21 00:00:00,Pets,PT3200,2.0,1304
71,190557.0,5/98/20 00:00:00,Toys,TY1300,1.0,1305
72,190557.0,5/98/20 00:00:00,Toys,TY2400,4.0,1306
73,190557.0,5/98/20 00:00:00,Toys,TY3300,1.0,1307
74,228620.0,10/98/29 00:00:00,Pets,PT2100,3.0,1308
75,228620.0,10/98/29 00:00:00,Pets,PT2200,1.0,1309
76,228620.0,10/98/29 00:00:00,Pets,PT3100,1.0,131
